날짜,SPX Index,SPXT Index,VOO US Equity,KBPMGO10 Index,148070 KS Equity
2001-01-03,1711740,2382440,#N/A N/A,100.3819,#N/A N/A
2001-01-04,1687340,2348540,#N/A N/A,101.892,#N/A N/A
2001-01-05,1641760,2285110,#N/A N/A,103.5857,#N/A N/A
2001-01-08,1637000,2278950,#N/A N/A,104.4018,#N/A N/A
2001-01-09,1628990,2267890,#N/A N/A,103.9112,#N/A N/A
2001-01-10,1664440,2317440,#N/A N/A,103.756,#N/A N/A
2001-01-11,1696340,2361860,#N/A N/A,105.3452,#N/A N/A
2001-01-12,1684810,2345810,#N/A N/A,105.2565,#N/A N/A
2001-01-15,1684810,2345810,#N/A N/A,105.0578,#N/A N/A
2001-01-16,1700770,2368020,#N/A N/A,105.2337,#N/A N/A
2001-01-17,1699060,2365790,#N/A N/A,105.1008,#N/A N/A
2001-01-18,1732140,2411870,#N/A N/A,105.0458,#N/A N/A
2001-01-19,1714290,2387020,#N/A N/A,105.2401,#N/A N/A
2001-01-22,1710990,2382420,#N/A N/A,105.3007,#N/A N/A
2001-01-23,1733150,2413280,#N/A N/A,105.3197,#N/A N/A
2001-01-24,1740030,2422890,#N/A N/A,105.3388,#N/A N/A
2001-01-25,1729470,2408210,#N/A N/A,105.3579,#N/A N/A
2001-01-26,1735560,2416800,#N/A N/A,105.6344,#N/A N/A
2001-01-29,1727720,2406030,#N/A N/A,105.6176,#N/A N/A
2001-01-30,1737770,2420100,#N/A N/A,105.512,#N/A N/A
2001-01-31,1717070,2391510,#N/A N/A,105.5978,#N/A N/A
2001-02-01,1725770,2403830,#N/A N/A,105.6907,#N/A N/A
2001-02-02,1684810,2346790,#N/A N/A,105.9265,#N/A N/A
2001-02-05,1709140,2380740,#N/A N/A,106.1019,#N/A N/A
2001-02-06,1701140,2369720,#N/A N/A,106.7287,#N/A N/A
2001-02-07,1699580,2368060,#N/A N/A,108.4603,#N/A N/A
2001-02-08,1686980,2350530,#N/A N/A,108.2877,#N/A N/A
2001-02-09,1661860,2315590,#N/A N/A,108.7594,#N/A N/A
2001-02-12,1682240,2344040,#N/A N/A,109.9655,#N/A N/A
2001-02-13,1653120,2303650,#N/A N/A,109.9772,#N/A N/A
2001-02-14,1646870,2295380,#N/A N/A,110.5031,#N/A N/A
2001-02-15,1650300,2300340,#N/A N/A,110.4831,#N/A N/A
2001-02-16,1617800,2255070,#N/A N/A,109.6271,#N/A N/A
2001-02-19,1617800,2255070,#N/A N/A,109.1856,#N/A N/A
2001-02-20,1576930,2198130,#N/A N/A,109.1349,#N/A N/A
2001-02-21,1555280,2168080,#N/A N/A,108.4878,#N/A N/A
2001-02-22,1556630,2170030,#N/A N/A,108.5174,#N/A N/A
2001-02-23,1555890,2169030,#N/A N/A,102.9827,#N/A N/A
2001-02-26,1580920,2204040,#N/A N/A,105.2547,#N/A N/A
2001-02-27,1571170,2190600,#N/A N/A,105.9426,#N/A N/A
2001-02-28,1555500,2169120,#N/A N/A,107.5309,#N/A N/A
2001-03-01,1555880,2169700,#N/A N/A,107.5503,#N/A N/A
2001-03-02,1563710,2180620,#N/A N/A,107.807,#N/A N/A
2001-03-05,1581560,2205830,#N/A N/A,107.3589,#N/A N/A
2001-03-06,1583670,2208830,#N/A N/A,106.6021,#N/A N/A
2001-03-07,1607960,2243140,#N/A N/A,104.9806,#N/A N/A
2001-03-08,1607610,2242720,#N/A N/A,103.8458,#N/A N/A
2001-03-09,1565150,2183490,#N/A N/A,103.0044,#N/A N/A
2001-03-12,1509420,2105770,#N/A N/A,103.7506,#N/A N/A
2001-03-13,1527020,2130760,#N/A N/A,103.6297,#N/A N/A
2001-03-14,1491170,2080770,#N/A N/A,104.2239,#N/A N/A
2001-03-15,1508020,2104320,#N/A N/A,105.7149,#N/A N/A
2001-03-16,1485330,2072680,#N/A N/A,105.4885,#N/A N/A
2001-03-19,1517370,2117420,#N/A N/A,104.8358,#N/A N/A
2001-03-20,1480890,2066560,#N/A N/A,104.6812,#N/A N/A
2001-03-21,1468880,2049870,#N/A N/A,103.6039,#N/A N/A
2001-03-22,1478000,2062630,#N/A N/A,103.3383,#N/A N/A
2001-03-23,1492040,2082220,#N/A N/A,103.5852,#N/A N/A
